المقابل باللغة الأنجلزية	المقابل باللغة الفرنسية	المصطلح
linguistic atlas	atlas linguistique	أطلس لغوي
linguistique  change	changement linguistique ;mutation linguistique	تحول لغوي
linguistic chart	carte linguistique	خارطة لغوية
linguistic circle	cercle linguistique	حلقة لغوية
linguistic circle	cercle linguistique	سياق لغوي
linguistic demography	démographie linguistique	ديموغرافيا لغوية
linfuistic drill	exercice linguistique	تمرين لغوي
linguistic economy	économie linguistique	اقتصاد لغوي
linguistician	linguiste	-لساني -لغوي
linguistic norm	norme linguistique	معيار لغوي
linguistic philosophy	philosophie du  langage	فلسفة لغوية
linguistic psychology	psychologie du  langage	علم النفس اللغوي
linguistic  relativity	relativité  linguistique	النسبية اللغوية
linguistics	linguistique	-اللسانيات -علم اللسان
linguistics sciences	sciences linguistique ; sciences du langage	علوم اللسان
linguistics semantique	sémantique linguistique	علم المعاني اللغوي
linguistique sign	signe (symble) linguistique	علامة الدليل اللغوي
linguistic skill	aptitude linguistique	مهارة لغوية
linguistic taboo	tabou linguistique	محظور لغوي
linguistic typlogy	typologie linguistique	تصنيف لغوي (على أساس الخواص التركيبية)
linguoustylistics	stylistique linguistique	-علم الأسلوب -بلاغة
linkage	rattachement ;lien	ربط
linking	liaison	رابط
linking morpheme	morpheme de jointure  (mot composé)	عنصر ربط
linking R	R __ de liaison R__ épenthétique	راء الربط
linking verb	verbe copule	فعل ربط
linking word	mot coordonnant	أداة عطف
lip position	position es lèvres	وضع الشفتين
lip projection	projection des levres	تقبب الشفتين
lip rounding	arrondissement des lèvres	-تدوير الشفتين -ضم الشفتين
lip spreading	étirement des lèvres	جر الشفتين (عدم تدويريهما)
liquid	liquide	-مائع -حرف أذلق
lisping	zézayement ; blésement	لثغة الجيم (واللثغة بمعناها العام)
listing discrimination	discrimaination auditive	تمييز سمعي
ilst of frequency	liste de fréquence	قائمة تواترية
literacy  coefficient	coefficient d’alphabétisation	معامل القراءة والكتابة
litéral translation	traduction littéral	ترجمة حرفية
literacy language	lange littéraire	لغة أدبية
loan	emprunt	معامل ديني (تأثر لغة بأخرى بمعامل الدين)
liturgical language	langue liturgique	لغة دينية
loan	emprunt	-افتراض -اقتباس لغوي (كمصدر) دخيل (اللفظ المقتبس)
loan blend	fusion	مزيج اقتراضي
loan shift	intégration d’emprunt	-تحول اقتراضي -تحول الدخيل
loan translation	calque	اقتباس بالترجمة
loan word	emprunt	اقتباس لغوي
local friction	friction localisé	احتكاك عضوي
localization	localisation	مخرج النطق
locative	locatif	حالة المكانية
locus	locus	مورد الحرف (نقطة توارد)
logatome	logatome	مقطع
logical  construction	construction  logique	تركيب المعنى
logical subject	sujet réel (logique)	-فاعل حقيقي -فاعل معنوي
logogram ;logograph	logogramme	تهجئة لغوية (الرمز بدليل الكلمة  أو الكلمات)
logopedics	logopédie	تبليل (تقويم النطق  وإعادة البلة)
logorrhea	logorrhée	هذرمة
logosyllabic  writting	écriture  logosyllabique	كتابة مقطعية
logotactics	logotactique	تحليل سياقي
long consonant	consonne longue	صامت ممدود
long vowel	voyelle longue	مصوت ممدود
look-and-say	méthode « voir et prononcer »	منهج "انظر ثم انطق"
loquacity	loquacité  « acquisition de la langue »	مرحلة الثرثرة (في اكتساب اللغة)
loos of inflection	perte de l’inflexion ; chute de l’inflexion	فقدان التصريف
loudness	volume (puissance) sonore	جهارة الصوت
low formant	formant bas	البانية السفلى
low latin	bas latin ; latin vulgaire	لهجة لاتنية دارجة
low vowel	voyelle basse ; voyelle ouverte	مصوت واطئ
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
machine translation	tarduction automatique	ترجمة آلية
macron	signe de durée	علامة المد
macrosegment	macrosegment	منطوق بنغمة واحدة
macro-structures	macrostructures	البنى الأصلية
main clause	proposition principale	الجملة المحمول عليها
main verb	verbe principal	-فعل رئيسي -فعل محمول عليه
major class features ;distinctives features	traits distinctifs des catégories majeures	الصفات المميزة للأجناس الكبرى
major form class	partie majeure d’un mot	أحد الأقسام الرئيسية للكلمة -قبيل(قسم من أقسام الكلم)
majuscule	majuscule	حرف كبير
makeshift language	sabir	علجية مشتركة  (عند يسبرسن)
malapropism	catachrése	مجاز شائع
malformation	malformation	صياغة خاطئة
manner(mode) of articulation	mode d’articulation	صفة الحرف (في مقابل المخرج)
maner of discourse	modalité du discours	طريقة الكلام(وحكم الكلام إذا كان المقصود هو الإثبات والاستفهام والنفي وغير ذلك)
manner of formation	mode de formation	طريقة الصياغة
marginal	marginal	هامشي
marginal area	région (aire) marginal	منطقة هامشية
marginal element	élément marginaux (syllabe)	أطراف المقطع
marginal sounds	sons marginaux	أصوات هامشية (نادرة الوقوع)
mark	marque	علامة
marked member	membre marqué	عنصر معلم (في مقابل زذو علامة غير ظاهرة)
marker	marqueur	راسم (عند تشومسكي)
mark of correlation	marque de corrélation	علامة التناظر
Markov chaines	chaine de Markov	مسلسلات "مركوف"
masculine	masculin	مذكر
masking effect	masquage	-تغليب صوتي -تغطية
mass noun	nom non-comptable nom massif	اسم غير معدود
materiel content	contenu materiel (sens)	-المعنى المحصل (في مقابل اللفظ) -المحتوى
mathematical linguistics	linguistique mathématique	اللسانيات الرياضية
matrix sentence	phrase matrice	الجملة الأصل
matronymic	nom matronymic  (mqtrontyme)	اسم مشتق من اسم  الأم
meaning	sens	-معنى -مدلول
meaningful	significatif	ذو معنى
meaningless	non-significatif	بدون معنى
measure	mesure	تقطيع البيت
mechanical (machine) translation	traduction automatique	ترجمة آلية
mechanistic theory	théorie mécaniste (théorie anti-mentaliste)	النظرية الآلية
medial-accent	accent interne (médian)	نبرة وسطية
medial consonant	consonne médiane	صامت وسطي
medial position	position médiane	موقع وسط
median resonant	resonateur médian	رنان متوسط
mediopalatal	médiopalatal  ;médiodossam	شجري (أو من وسط الحنك)
médio-pharynx	médiopharynx	وسط الحلق
medium vowel ;neutral vowel	voyelle neutre	-مصوت محايد -مصوت مخفى (عند العرب)
melioration	amélioration ; mélioration	-معنى المدح -المدح
meliorative suffix	suffixe d’amélioration ; suffixe mélioratif	لاحقة للمدح
melloow	mat	-مصمت -رخيم
melody	mélodie  (de la phrase)	نغمة (الكلام)
mentalism	mentalisme	-الذاتية -الذهنية
mentalistic theory	théorie mentaliste	صيغة منحوتة
merged form	forme fusionnée	فعل مركب
message	message	-خطاب
metadiscourse	métadiscours	-خطاب فني -خطاب على خطاب
metalanguage	métalangue  ;métalangage	-اصطلاح  -وضع ثان (في مقابل الوضع الأول)
metalepsis	metalépse	كناية بالسبب (أو المسبب)
metalinguistic function	fonction métalinguistique	الوظيفة التحقيقية
metalinguistics	métalinguistique	-خاص بالوضع الثاني -خاص بالتحقيق في اللغة
metanalysis	métanalyse	-تحليل ثان -تحليل على تحليل
metaphone	métaphone	-بدل صوتي -بدل غير مقيد
metaphony	métaphonie	اتباع
metaphor	métaphore	استعارة
metaphrase	métaphrase ;phrase  littérale	ترجمة حرفية
metaplasme	métaplasme	-تغيير صوتي -تصحيت
metastase	métastase	إطلاق
metatheorie	métathéorie	-نظرية ثانية نظرية النظرية
metathesis	métathése	قلب مكاني
metonomy	métonymie	مجاز مرسل
metre	métre	وزن الشعر بحر في العروض
metrcis	métrique	علم العروض
microcontext	microcontexte	السياق القريب
microsegment	microsegment	-قطعة صغرى -وحدة صغرى
microsysteme	microsegment	-منظومة صغرى -بنى فرعية
microsysteme	microstructure	لغة وسطى
middle language (diglossia)	langue médiante	صيغة المطاوعة
middle voice	voix du réflexif	مصوت وسطي (مخفي عند العرب)
middle vowel (neutral vowel)	voyelle neutre	نظرية الانتشار
migration theory	théorie migratoire/ de la migration	-حكاية صوت -كلمة محاكية (الصوت الطبيعية)
mimicry	mimique	إيمانه
minimal definition	définition minimale	حد أدنى
minimal pair	paire minimale	-ثنائية صغرى  -زوج أصغر
minority language	langue minoritaire	لغة أقلية
miniscule	miniscule	حرف عادي
mixed language	langue mixte ;sabir ;pidgin ; créole	لغة مختلطة
mixed metaphore	métaphore mixte ; métaphore combiné	استعارة مختلطة
mixing og languages	mélange de langues	خلط اللغات
mixture	mixture	خليط لغوي
mobile stress	accent libre	-نبر متنقل -تطويح غير ثابت
mock form	néologisme humouristique	صيغة فكاهية
modal auxilary verb	verbe auxiliaire modal	-فعل مساعد -أداة فعلية
modal content	contenu modal	المعنى الحكمي  للكلام
modality	modalité	حكم الكلام  (استفهام-خبر-أمر-تمن) 2-الدواخل (في البنوية الوظيفية) 3-معاني النحو
modal predicate	predicat	جملة فعلية خبرية
mode	mode	-صيغة فعل -وزن
model	modéle	مثال
mode of articulation	mode d’articulation	صفة الحرف  (في مقابل المخرج)
mode of discourse	mode de discours	-صيغة الكلام -حكم الكلام
modification	modification	زيادة تخصيص  مفيدة
modified language	langue modifiée	لغة متغيرة
modifier	modificateur	مخصص مفيد (داخل على مفردة أو جملة)
modulation	modulation (prosodique)	-تصريف نغمي -تصريف تطويحي
momentary aspect	aspect ponctuel ; aspect momentané	الحدوث الآني
moneme	monéme	عنصردال  مونيم
monogenesis thesis/theory	théorie(thése) monogénistique	نظرية الأصل  الواحد
monoglot	monoglotte	أحادي اللغة
monogrel word	mot hybride	كلمة هجينة
monolateral	monolatéral	من جانب واحد (صوت)
monolingual	monolingue ;unilingue	أحادي اللغة
monologue	monologue	مونولوك (حديث فردي)
monomorphemic	monomorphé	أحادي الدالة
monophone	monophone	أحادي الصوت
monophonemic	monophonémtique	أحادي الحرف
monophthong	monophthongue	مصوت بسيط
monophthongization	monophthongaison	توحيد المزدوج  الصوت
monosemy	monosémie	أحادية الدلالة
monosyllabic	monosyllabic	أحادي المقطع
monosyllabism	monosyllabisme	ظاهرة أحادية المقاطع
monosyllable	monosyllabe	أحادي المقطع
monosytemic	monosytémique	أحادي النظام
monotonization	monotonisation	توحيد النغمة
mood	statut de la phrase	حكم الكلام (إثبات-نفي-استفهام-تعجب الخ)
mora	more	مقدار المدة مورة (وحدة قياس الطول  الصوتي)
morph	morphe	-صورة الدالة -الدالة المثالية
mpepheme	morphéme	-عنصر دال -دالة نحوية
morpheme alternant	morphoneme	-وحدة صرفية (عند مارتني) -بدل تصريفي
morphmiqueeme word	mot monomorph	كلمة أحادية  الدالة
morphemically conditioned –phonemic variation	alternace (variation) morphonémique	تعاقب صرفي  صوتي
morphemic analysis ;morphological analysis	analyse morphologique /morphématique	morphologieتحليل إلى دوال
morphemics	morphologie	-علم الصرف (عند العرب) علم الصيغ(في مقابل علم النحو التركيبي وعلم الأبنية التركيبية)
morphemic script	écriture morphémique ;logographie	كتابة تمثيلية
morphological assimilation	assimilation morphologique	-حمل بناء  على بناء -قياس صرفي
morphological change	changement morphomogique	تحول صرفي
morphological doublet	doublet morphologique	رسيلة صرفية
morphological extention	extention  morphologique	تفريغ الأبنية الصرفية
morphological variations	variations  morphologhique	تصاريف
morphology	morphologie	علم الصرف
morphoneme ; morpho-phoneme	morphophonéme	حرف مبني (وحدة صوتية صرفية)
morpho-phonemic  stress	accent morphophonémique	نبر صرفي صوتي  تطويح صرفي صوتي
morpho-phonemic variation	variation morphophonémique	تصريف صرفي صوتي
morpho-phonology	morphophonologie	علم الأصوات  الصرفي
morpho-semantic field	champ morpho-sémantique	مجال دلالي صرفي
mother tongue	langue maternelle	اللغة الأم
motorphonetics	phonétique articulatoire	صوتيات  المخارج
mouth cavity	cavité buccale	تجويف  الفم
movable speech organs	organes mobile de la parole	أعضاء النطق المتحركة
multi-dimensional phonology	phonologie multidimentionnelle	تحليل مستوى التطويح
multilateral opposition	opposition multilarérale	تقابل متعدد الأطراف
multilingualism	multilingualisme ;plurlingue	تعدد اللغات
multilingual ;polyglotte	multilingue ;plurilingue	متعدد اللغات
multilogue	multilogue	حديث جماعي
lultipartite system	systéme multipartite	نظام متعدد الأجزاء
multiple meaning	plurésémie ;polysémie	استراك (تعدد المعاني)
multiple sentence	phrase complexe	جملة مركبة
multiple substitution  frame	cadre à substitution multiple	جدول متعدد الاستبدال
multiplicative numeral	numéral ordinal	عدد ترتيبي
multi-segmental  feature	trait multisegmental	صفة لأكثر من حرف
multisyllable	polysyllabique ;polysyllabe	متعدد المقاطع
multiverbal endocentric structure	structure endocentrique	تركيب مشتمل على نظير
murmur vowel	murmure vocal	مصوت وسطي (مخفى)
mutation	mutation	تحول صوتي
mute	muet(son)	حرف غير  منطوق
mutual intelligibility	intercompréhension	تفاهم
mutually exclusive	mutuellement exclusive	متدافعان
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
name of instrument	nom d’instrument	اسم آلة
naming	appellation	تسمية
narration	narration	فعل الحكاية
nrrow diphtong	diphtongue étroite	مزدوج مضيق
narrowed  meaning	sens (étroit) restreint	المعنى الخاص
narrowing of meaning	restriction du sens	تخصيص المعنى
narrow trnscription	alphabet phonétique	نسخ صوتي  ألفبائية صوتية
narrow vowel	voyelle fermée	مصوت مضيق المخرج
nasal	nasal	خيشومي  -أغن (صفة للحرف)
nasal cavity	cavité nasale	الخياشيم (تجاويف الأنف)
nasal consonants	consonnes nasales	صوامت غناء
nasality	nasalité	غنة
nasalization	nasalisation	إغنان (إشراب الحرف غنة)
nasalized	nasalisé	مغن (مشرب غنة)
nasalization vowel	voyelle nasale	مصوت أغن
nasal pharynx	pharynx nasal ; rhinopharynx	تجويف الحلق  الخيشومي
nasal plosion	plosion nasale	انفجار من الخيشوم
nasale release	relachement nasal	إطلاق من الخيشوم
nasal sound	son nasal	صوت أغن
nasal twang	nsillement	-تأنيف (في النطق الإقليمي) -إشراب الكلام غنة
native language	langue native	لغة المنشأ
native speaker	locuteur natif	فصيح (بالفطرة)
native word	mot natif	كلمة أصلية
nativistic theory	théorie nativiste	نظرية محاكاة الأصوات
natural gender	genre naturel	جنس طبيعي (من حيث التذكير والتأنيث)
naturalized word	mot integré emprunt intégré	-دخيل مؤقلم -دخيل موطن (كلمة)
near person	proche personne	القريب (المتكلم والمخاطب)
near synonym ; pseudo-synonym	pseudo-synonyme	-مرادف تقريبي -شبه مرادف
negation	négation	النفي
negative conjunctions	conjonctions négatives	أدوات نفي الربط
négative particle	particule négative	أداة نفي
negative transformation	transformation de négation	تحويل للنفي
neogrammarians	néogrammairiens	النحاة المحدثون
neologism	néologisme	مولد
neology	néologie	توليد
nesting	echassement multiple	تضمن متعدد
neurolinguistics	neurolinguistique	اللسانيات العصبية
neutralizable oppositions	oppositions neutralisables	متقابلات قابلة للالغاء
neutralization	neutralisation	إلغاء
neutral vowel	voyelle neutre	مصوت وسطي (مخفى عند العرب)
nexus	nexus	1-تركيب 2-نواة
noa word	mot euphémistique; euphémisme	كناية تنزيه
node	noeud	-نقطة تفريع -عقدة
noeme	glosséme	نؤيم (معنى الكلوسيم)
noise	bruit	1-تشويش 2-قرع ( في الصوتيات ويقابله النغم)
nominal definition	définition explicative	تعريف بالشرح
nominalism ; conventionalism	nominalisme	-الاسمية -الاسمانية
nominalization	nominilisation	تحويل إلى اسم
nominalizator	nominilisateur	زيادة للاسمية
nominam (noun) clause	phrase nominale	جملة اسمية
nominal phrase	locution nominale	-تركيب اسمي -مجموعة اسمية
nominal sequence	suite nominale	-مساق اسمي تسلسل اسمي
nominative case	cas nominatif	-حالة الفاعل  -حالة المسند إليه
non-anterior	non-antérieur	-غير أمامي -غير مستقل
non-automatic alternation	alternance  non-automatique	تعاقب غير اضطراري
nonce-form	néologisme éphémére	-صيغة مبتكرة -مولد عارض (قاصر الحياة)
non-consonantal	non-consonantique	غير صامت
non-contiguous assimilation	assimilation  non -contigue	مماثلة تباعدية
non-continuant	non-continu	1-غير متصل (حدوث الفعل) 2-غير زماني (مصوت)
non-contrasting variant	variante non-contrastive	بدل بلا تفاضل
non-contrastive distribution	distribution non-constrative	قسمة بدون تفاضل
non-count noun	nom non-comptable	اسم غير معدود
non –definite article	article indéfini	أداة تنكير
non-distinctive feature	trait non-distinctif	صفة غير مميزة
non-distinctive oppositions	oppositions non-distinctives	متقابلات غير مميزة
non-favorite(minor) sentence	phrase mineur	جملة مفيدة صغرى
non-finite(infinite) verb form	forme infinitive	فعل مصدري
non functional feature	trait non –fonctionnel ; trait non-pertinent	صفة غير وظيفية
non funtional redondance	redondance non-fonctionnelle	-تطويل -حشو
non-functionl variation	variation non-fonctionnelel	تنوع غير وظيفي
non-human noun	nom non-humain	اسم غير العاقل
non-immediate situation	situation non-immédiate ; situation distante	حال الخطاب غير قريبة
nin-liner	non-linéaire	-غير متوال -غير متسلسل
non-motived	non-motivé	غير مسبب
non-nasal	non-nasal	غير أغن
non-periodic vibration	vibration non-périodique	غير دوري (اهتزاز)
non-phonemic	non-phonémique ;allophonique	غير لفظي
non-productive	improductif	-غير مقيس -جامد
non-restrictive	non-restrictif	غير محصور
non-sense forme	forme sans signification	صيغة لا معنى لها
non-sharp	non-diésé (consonne faible)	غير مرفوع
non-significant	non-significatif	غير دال
non-standard	non-standard	غير فصيح
non-syllabic	non-syllabique	لا مقطعي
non-vocalic	non-vocalique	غير مصوت
norm	norme	معيار
normalization	normalisation	تقعيد (إثبات الأصول اللغوية)
normative linguistics	linguistique normative	اللسانيات المعيارية
notation	notation	كتابة باستخدام الرموز
notional (philosophical) grammar	grammaire  notionnelle	نحو فلسفي مفهومي
notional word	mot plein	كلمة متمكنة
noun	nom	اسم
noun adjunct	nom modificateur	اسم زائد (يغير المعنى)
noun cluster/phrase	phrase	تركيب اسمي
number	nombre	عدد (في النحو)
numeral	numéral	عددي
numerative classifier	numéral ordinal	عدد ترتيبي
nunation	nounation	تنوين
		
		
		
		
		
		
		
		
		
		
object complement ;object	complément d’objet ;objet	مفعول به
objevtive case	cas objet ;cas régime	حال المفعول
objective prounoun	pronom objet	ضمير المفعول
obligative mood	mode ordre	صيغة الأمر (في مقابل النهي)
obligatory categories	catégories obligatoires	أجناس واجبة
obligatory rule	régle obligatoire	قاعدة إلزامية
obligatory transformation	transformation obligatoire	تحويلة إلزامية
obligatory variante	variante obligatoire	بدل اضطراري
oblique case	cas oblique	حالة غير الفاعل
oblique(indirect)  question	interrogation indirecte	استفهام تعليقي
observational adequacy	adéquation d’observation	استيفاء المشاهدة
obsolescence	obsolescence	ترك
obsolescent	obsolescent	آيل إلى الترك
obsolete	obsoléte	-متروك -ممات
obstruent	obstruent	معترض
obviative	obviatif ;anontif	ضمير الغائب
occlusion	occlusion	-انسداد (لمجرى الهواء) -حبس (صفة للحرف)
occurence	occurence	-وقوع -حدوث
of-glide ;final glide	glide final	1-النقلة الأخيرة (الخروج الأخير) 2-الصويت
on-glide	glide initial	الابتداء (الخروج الأخير)
onomasiology	onomasiologie	علم المعاني فير اللفظي (دراسة الأدلة انطلاقا من المعاني)
onomastics ;onomatology	onomastique	دراسة الأعلام
onomathesia	onomastique	تسمية
onomatopeia	onomatopée	حكاية صوت
onomatopoeic theory	théorie onomatopéique	نظرية حكاية الأصوات
onset	début de syllabe	بداية المقطع
ontogeny	ontogénie	دراسة تطور لغة الفرد
open approximant ;frictionless continuant	consonne contiuante non-r=fricative	مصوت ممتد غير تسريبي
open-class words	mot à classe ouverte	الكلمات غير المحروصة
open construction	construction ouverte	تركيب غير محدود
open juncture	joncture ouverte	اتصال متراخ (في مقابل الاتصال الشديد)
open list/set	liste ouverte	قائمة مفتوحة (قابلة للزيادة)
open syllabification	syllabation ouvertre	نظام المقاطع المفتوحة
open transition	transition ouverte	اتصال متراخ
oepn vowel	voyelle ouverte	مصوت متسع المخرج
operande ;operator	opérateur	-عامل -عنصر تركيب
opposition	opposition	-تقابل -متقابلة
opposition of localization	opposition de localisation	متقابلات في  المخرج
opposition of mode	opposition de mode	متقابلات في الصفة
optative mood	mode optatif	صيغة التمني  (للفعل)
optional element	élément facultatif	عنصر اختياري
optional transformation	transformation facultative	تحويلية اختيارية
optional variant	variante facultative	بدل جائز
oral	oral	شفوي (عكس كتابي)
oral air-mechanism	mécanisme d’air oral	مجرى الهواء في الفم
oral cavity	cavité orale/buccale	تجويف الفم
oral literature	littérature orale	أدب شفوي
oral sound	son oral	صوت فموي
oratorical interrogation	interrogation oratoire	استفهام تقريري
oratorical speech	langage cérémonial	-كلام تقليدي -كلام خطابي
order	ordre/série( de sons) ordre des mots	1-ترتيب (المخارج) 2-ترتيب الكلمات
ordinal number	numéral ordinal	عدد ترتيبي
ordinary language	langue ordinaire	لغة عادية
prgans of speech	organes de la parole	أعضاء النطق
origin of language ;origin of speech	origine de la parole	-أصل الكلام -أصل اللغة
oro-pharynx	oro-pharynx	أدنى الحلق
orthoepy	orthoépie	دراسة النطق الفصيح
orthography ;spelling	orthographe	-نظام التهجئة -النظام الإملائي
oscillogram	oscillogramme	مهزازية (رسم الذبذبات)
oscillograph	oscillographe	-مهزاز راسم -راسم الذبذبات
oscilloscope	osciloscope	مهزاز
ostensive definition	définition ostensive	تعريف بالإشارة (إلى الشيء)
outer closure	fermeture externe ;occlusion externe	-تضييق خارجي -حبس خارجي
outer form	forme éxterieur	النظام الخارجي (نظرية هومبلولت)  (في مقابل النظام الباطني)
overall pattern	modèle (systéme) général	-نظرية تفسيرية عامة -تمثيل عام
over-coreection	hypercorrection	-فرط التصحيح -تصحيح مغلوط
over differentiation	excés de diffénciation ; différenciation exagrée	فرط التمييز
overlap	chevauchement ;double  emploi	تداخل
overlapping distribution	distribution à chauvchement	قسمة ذات تداخل
overtone	connotation	دلالة المعنى
oxymoro	oxymore	-تضاد -تكافؤ
oxytone	oxyton	-مطوح الآخر منبور الآخر
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
palatal	palatal	-شجري -حنكي
palatalization	palatalisation	-تشجير -تحنيك
palate	palais	حنك
palato-alveolar	palato-alvéolaire	-شجري نطعي -حنكي نطعي
palatogram	palatogramme	-حنكية رسم حنكي
palatograph	palatograph	محنك
palatpgraphy	palatographie	حنكيات
paleography	paléographie	علم الخطوط والحنكيات القديمة
palindrome ;anagram	palindromé	لفظة تقرأ طردا وعكسا
paradigm	paradigme	-جدول التصريف -مثال
paradigmatic economy	économie paradigmatique	اقتصاد في  التصريف
paradigmatic pattern	modèle paradigmatique	نمط تصريفي
paradigmatic sound change	changement phonétique paradigmatique	تحول صوتي تصريفي
paragogue	paragogé	إلحاق تسهيلي
paragrammatism	paragrammatisme	عسلطة نحوسة (عفك أو ثغثغة)
paralanguage	paralangage	خارج عن اللغة
paralexy	paraléxie	-عسلطة قرائية -عفك القراءة
paralinguistics	paralinguistique	دراسة الظواهر  شبه اللغوية
paraphrase	paraphrase	-مجاز جملة -وجه تعبيري
paraphrastic	paraphrastique	وجوه التعبير (عن المعنى الواحد)
paraplasm	paraplasme	صيغة طارئة
parasitic ;epznthetic	parasite ;épenthétique	-صوت مقحم -صوت متطفل
parasitic vowel	voyelle parasite ; voyelle épenthétique	مصوت متطفل
parasynthesis	parasynthése	-اشتقاق باللواصق
parataxis hypotaxis	parataxe	فصل (في مقابل الوصل)
parenthesis	parenthése	قوسان
parenthetic clause	proposition enchassée	-جملة مدمجة (في أخرى) -جملة مضمنة
parenthetization	parenthétisation	التقويس
parent language	langue parente	اللغة الأصلية
parisyllabic	parisyllabique	متساوي المقاطع
parole	parole	كلام
paronomasia	paronomase	-اتباع -ازدواج
paronym	paronyme	مشترك الجذر
paroxytone	paroxyton	منبور ما قبل  الآخر
paroxytonic language	langue paroxytonique	لغة مطوحة ما قبل الأواخر
parasing	analyse grammaticale	إعراب (بتحليل الجملة)
partial assimilation	assimilation partielle	تقريب جزئي  (مشاكلة جزئية،مضارعة أو تجانس)
partial complementationn	complémentarité partielle	تكامل جزئي
partial interrogation	interrogation partielle	استفهام تصوري
participal phrase	syntagme participal	1-مجموعة اسم الفاعل 2-مجموعة اسم المفعول
particle	particule	أداة
partitive article/gentive	article partitif	أداة تبعيض
partitif numeral	nom de fraction	-اسم كسر -جزء
parts of speech	partie du discours	أقسام الكلام
pasigraphy	systéme d’écriture (à symboles quasi-universels)	كتابة عامة (نظام الكتابة باستخدام رموز عامة)
pasimology	systéme gestuel de communication	نظام الاتصال بالاشارات
passive	passif	-مبني للمجهول -مبني للمفعول
passive articulator	articulateur immobile	عضو النطق الثابت
passive cavity	cavité immobile	تجويف ثابت
passive infinitive	infinitif passif	مصدر مبني للمجهول
passive voice	voix passive	صيغة المبني للمجهول
past(past tense)	passé (le)	ماض
past antérior	passé antérieur	ماض سابق
past historic	passé historique ;passé simple	ماض منقض
past participle	participe passé	صيغة اسم المفعول
past perfect	plus-que-parfait	الماضي المركب الثاني
patois	patois	لهجة محلية
patronymic	patronyme	اسم منسوب إلى الأب
pattern conguity	congrence (congruite) de la pattern (du systéme)	-اتساق النمط -اطراد المثال
pattern drill	exercice systématique	-تدريب على الأنماط -تدريب على القياس
pattern pressure	pression du systéme	موجب القياس
paucal number	nombre du paucité	جمع القلة
pause	pause	حالة الوقف
pause pitch	hauteur mélodique de la pause	درجة الصوت في الوقف
peak of senority/prominence	sommet de sonorité	قمة الجهارة
peak satelite	partie non-accentuée du sommet	مصوت تابع
pedagogical grammar	grammaire pédagogique	نحو تعليمي
pedagogical languistics	linguistique pédagogique pédagolinguistique	اللسانيات التربوية
pedigree theory	théorie de l’arbre généalogique	نظرية التشعب اللغوي
pejoration	péjoration	الذم(في مقابل المدح)
pejorative	péjoratif	معنى مذموم
penlut	pénultiéme	المقطع قبل الأخير
peregrinism	emprunt à une langue étarngére	اقتباس لغوي
perfect tense	passé composé	-الماضي المركب الأول -الماضي المبهم
performence	performence	أداء
performative	performatif	إيقاعي
period	période	1-دورة (في الصوت) 2-وصل في البلاغة
peripheral language	langue de contact	لغة التخوم
perpheral vowel	voyelle cardinale	مصوت ركن
periphrasis	périphrase	إرداف
perlocutionary	perlocutoire	حالي (مدلول عليه) بدلالة الحال
permansive apect	aspect permansif	أفعال الإذن
permanssive verbs	verbes permenssifs	عناصر متعاقبة (يقوم بعضها مقام بعض أو بدل بعض)
permutation	permutation	قلب مكاني
permutative	permutatif	طرد عكسي
person	personne	-شخص -إنسان
personal endings	désinences personnelles	علامات الإضمار
personal prounoun	pronom personnel	ضمير
personal verb	verbe personnel	فعل ذو ضمير
personification	personnification	تشخيص (تنزيل غير الآدمي منزلة الآدمي)
pertoglyph	pétrographie	نقش حجري
petrogram	pétrogramme	-تهجئة حجرية -نقش حجري
phantom word	idiotisme ;forme fautive	-مثل (عنصر جامد) -توهم(عنصر متوهم فيه)
pharyngeal	pharyngal (h)	محض حلقي
pharyngeal air stream-mechanism	mécanisme d’air-pharyngal	مجرى الهواء في الحلق
pharyngeal cavity	cavité pharyngale	تجويف حلقي
pharyngalization	pharyngalisation	إطباق
pharynx	pharynx	-الحلق -الحلقوم
phatic communion	fonction phatique	-وظيفة تفعيلية -وظيفة عطفية
phonotype	phonotype	فرع
philology	philologie	فقه اللغة (دراسة اللغة القديمة)
philosophie of language	philosophie du langage	فلسفة اللغة
phonation	phonation	تصويت
phone	phone	1-إصاتة 2-صوت محصل
phomematic ;phonemic	phonématique	-حرفي -فونولوجي
phonematics	phonématique	-علم الوحدات الصوتية -الصوتيات الوظيفية
phonematic unit	unité phonématique	-حرف صوتي -وحدة فونولوجية
phoneme	phonéme	-وحدة صوتية -حرف صوتي (فونيم)
phoneme-grapheme correspendance	phonéme-graphéme	تطابق لفظي خطي
phonemically conditioned alternation	alternance phonémique conditionné	تعاقب صوتي اضطراري
phonematic alphabet	alphabet phonématique ;alphabet phonémique	الأفبائية صوتية
phonemic analysis	analyse phonématique ;analyse phonémique	-تحليل إلى حروف صوتية -تحليل فونيمي
phonemic change	changement phonologique/phonémique	-تحول فونيمي  -تحول نظام الحروف الصوتية
phonemic contrast	opposition phonémique ;opposition phonologique	-تقابل فونيمي -متقابلة حرفية
